date,BRVM-COMPOSITE,BRVM-FINANCES,CAC_40,S&P_500
2021-04-20,146.63,56.56,6165.10986328125,4134.93994140625
2021-04-21,146.99,56.84,6210.5498046875,4173.419921875
2021-04-22,147.89,57.47,6267.27978515625,4134.97998046875
2021-04-23,148.21,57.55,6257.93994140625,4180.169921875
2021-04-26,147.87,57.6,6275.52001953125,4187.6201171875
2021-04-27,148.35,57.78,6273.759765625,4186.72021484375
2021-04-28,149.46,58.32,6306.97998046875,4183.18017578125
2021-04-29,149.4,57.9,6302.56982421875,4211.47021484375
2021-04-30,150.37,58.36,6269.47998046875,4181.169921875
2021-05-03,150.78,58.77,6307.89990234375,4192.66015625
2021-05-04,151.31,58.39,6251.75,4164.66015625
2021-05-05,152.07,58.95,6339.47021484375,4167.58984375
2021-05-06,151.57,58.03,6357.08984375,4201.6201171875
2021-05-07,154.18,58.67,6385.509765625,4232.60009765625
2021-05-10,152.07,57.04,6385.990234375,4188.43017578125
2021-05-11,154.16,57.17,6267.39013671875,4152.10009765625
2021-05-12,,,6279.35009765625,4063.0400390625
2021-05-13,,,6288.330078125,4112.5
2021-05-14,149.44,56.92,6385.14013671875,4173.85009765625
2021-05-17,150.56,57.17,6367.35009765625,4163.2900390625
2021-05-18,151.49,57.64,6353.669921875,4127.830078125
2021-05-19,150.86,56.97,6262.5498046875,4115.68017578125
2021-05-20,152.31,57.41,6343.580078125,4159.1201171875
2021-05-21,153.7,56.88,6386.41015625,4155.85986328125
2021-05-24,,,6408.490234375,4197.0498046875
2021-05-25,154.73,57.38,6390.27001953125,4188.1298828125
2021-05-26,156.65,57.8,6391.60009765625,4195.990234375
2021-05-27,157.47,58.41,6435.7099609375,4200.8798828125
2021-05-28,156.72,58.17,6484.10986328125,4204.10986328125
2021-05-31,156.31,58.94,6447.169921875,
2021-06-01,155.87,58.68,6489.39990234375,4202.0400390625
2021-06-02,154.9,58.28,6521.52001953125,4208.1201171875
2021-06-03,155.03,58.36,6507.919921875,4192.85009765625
2021-06-04,155.39,58.5,6515.66015625,4229.89013671875
2021-06-07,156.47,58.92,6543.56005859375,4226.52001953125
2021-06-08,156.78,58.75,6551.009765625,4227.259765625
2021-06-09,158.3,59.24,6563.4501953125,4219.5498046875
2021-06-10,158.79,59.13,6546.490234375,4239.18017578125
2021-06-11,159.62,59.09,6600.66015625,4247.43994140625
2021-06-14,159.94,59.16,6616.35009765625,4255.14990234375
2021-06-15,160.14,59.35,6639.52001953125,4246.58984375
2021-06-16,160.45,58.99,6652.64990234375,4223.7001953125
2021-06-17,159.95,58.76,6666.259765625,4221.85986328125
2021-06-18,160.47,59.28,6569.16015625,4166.4501953125
2021-06-21,160.5,59.76,6602.5400390625,4224.7900390625
